MSG:1005,0,1,"MakeMKV v1.18.2 win(x64-release) started","%1 started","MakeMKV v1.18.2 win(x64-release)"
DRV:0,2,999,12,"***","ANORA HD DISC2","***"
DRV:1,256,999,0,"","",""
DRV:2,256,999,0,"","",""
DRV:3,256,999,0,"","",""
DRV:4,256,999,0,"","",""
DRV:5,256,999,0,"","",""
DRV:6,256,999,0,"","",""
DRV:7,256,999,0,"","",""
DRV:8,256,999,0,"","",""
DRV:9,256,999,0,"","",""
DRV:10,256,999,0,"","",""
DRV:11,256,999,0,"","",""
DRV:12,256,999,0,"","",""
DRV:13,256,999,0,"","",""
DRV:14,256,999,0,"","",""
DRV:15,256,999,0,"","",""
MSG:1011,0,1,"Using LibreDrive mode (v06.3 id=7FA2657C7667)","%1","Using LibreDrive mode (v06.3 id=7FA2657C7667)"
MSG:3007,0,0,"Using direct disc access mode","Using direct disc access mode"
MSG:5085,0,0,"Loaded content hash table, will verify integrity of M2TS files.","Loaded content hash table, will verify integrity of M2TS files."
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
MSG:4004,16777216,2,"The source file '/BDMV/STREAM/00003.m2ts' is corrupt or invalid at offset 10745856, attempting to work around","The source file '%1' is corrupt or invalid at offset %2, attempting to work around","/BDMV/STREAM/00003.m2ts","10745856"
