MSG:1005,0,1,"MakeMKV v1.16.3 win(x86-release) started","%1 started","MakeMKV v1.16.3 win(x86-release)"
DRV:0,2,999,12,"***","***","***"
DRV:1,2,999,0,"***","***","***"
DRV:2,256,999,0,"","",""
DRV:3,256,999,0,"","",""
DRV:4,256,999,0,"","",""
DRV:5,256,999,0,"","",""
DRV:6,256,999,0,"","",""
DRV:7,256,999,0,"","",""
DRV:8,256,999,0,"","",""
DRV:9,256,999,0,"","",""
DRV:10,256,999,0,"","",""
DRV:11,256,999,0,"","",""
DRV:12,256,999,0,"","",""
DRV:13,256,999,0,"","",""
DRV:14,256,999,0,"","",""
DRV:15,256,999,0,"","",""
MSG:1011,0,1,"Using LibreDrive mode (v06.2 id=4FBA32AEC678)","%1","Using LibreDrive mode (v06.2 id=4FBA32AEC678)"
MSG:3007,0,0,"Using direct disc access mode","Using direct disc access mode"
MSG:5085,0,0,"Loaded content hash table, will verify integrity of M2TS files.","Loaded content hash table, will verify integrity of M2TS files."
MSG:3307,0,2,"File 01472.mpls was added as title #0","File %1 was added as title #%2","01472.mpls","0"
MSG:3307,0,2,"File 01601.mpls was added as title #1","File %1 was added as title #%2","01601.mpls","1"
MSG:3307,0,2,"File 00701.mpls was added as title #2","File %1 was added as title #%2","00701.mpls","2"
MSG:3307,16777216,2,"File 00020.mpls was added as title #3","File %1 was added as title #%2","00020.mpls","3"
MSG:3309,0,2,"Title 00099.mpls is equal to title 01601.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00099.mpls","01601.mpls"
MSG:3307,0,2,"File 00100.mpls was added as title #4","File %1 was added as title #%2","00100.mpls","4"
MSG:3307,0,2,"File 00101.mpls was added as title #5","File %1 was added as title #%2","00101.mpls","5"
MSG:3307,0,2,"File 00102.mpls was added as title #6","File %1 was added as title #%2","00102.mpls","6"
MSG:3307,0,2,"File 00103.mpls was added as title #7","File %1 was added as title #%2","00103.mpls","7"
MSG:3307,0,2,"File 00104.mpls was added as title #8","File %1 was added as title #%2","00104.mpls","8"
MSG:3307,0,2,"File 00105.mpls was added as title #9","File %1 was added as title #%2","00105.mpls","9"
MSG:3307,0,2,"File 00106.mpls was added as title #10","File %1 was added as title #%2","00106.mpls","10"
MSG:3307,0,2,"File 00107.mpls was added as title #11","File %1 was added as title #%2","00107.mpls","11"
MSG:3307,0,2,"File 00108.mpls was added as title #12","File %1 was added as title #%2","00108.mpls","12"
MSG:3307,0,2,"File 00109.mpls was added as title #13","File %1 was added as title #%2","00109.mpls","13"
MSG:3307,0,2,"File 00110.mpls was added as title #14","File %1 was added as title #%2","00110.mpls","14"
MSG:3307,0,2,"File 00111.mpls was added as title #15","File %1 was added as title #%2","00111.mpls","15"
MSG:3307,0,2,"File 00112.mpls was added as title #16","File %1 was added as title #%2","00112.mpls","16"
MSG:3307,0,2,"File 00113.mpls was added as title #17","File %1 was added as title #%2","00113.mpls","17"
MSG:3307,0,2,"File 00114.mpls was added as title #18","File %1 was added as title #%2","00114.mpls","18"
MSG:3307,0,2,"File 00115.mpls was added as title #19","File %1 was added as title #%2","00115.mpls","19"
MSG:3307,0,2,"File 00116.mpls was added as title #20","File %1 was added as title #%2","00116.mpls","20"
MSG:3307,0,2,"File 00117.mpls was added as title #21","File %1 was added as title #%2","00117.mpls","21"
MSG:3307,0,2,"File 00118.mpls was added as title #22","File %1 was added as title #%2","00118.mpls","22"
MSG:3307,0,2,"File 00119.mpls was added as title #23","File %1 was added as title #%2","00119.mpls","23"
MSG:3307,0,2,"File 00120.mpls was added as title #24","File %1 was added as title #%2","00120.mpls","24"
MSG:3307,16777216,2,"File 00121.mpls was added as title #25","File %1 was added as title #%2","00121.mpls","25"
MSG:3307,0,2,"File 00122.mpls was added as title #26","File %1 was added as title #%2","00122.mpls","26"
MSG:3307,0,2,"File 00123.mpls was added as title #27","File %1 was added as title #%2","00123.mpls","27"
MSG:3307,0,2,"File 00124.mpls was added as title #28","File %1 was added as title #%2","00124.mpls","28"
MSG:3307,0,2,"File 00125.mpls was added as title #29","File %1 was added as title #%2","00125.mpls","29"
MSG:3307,0,2,"File 00126.mpls was added as title #30","File %1 was added as title #%2","00126.mpls","30"
MSG:3307,0,2,"File 00127.mpls was added as title #31","File %1 was added as title #%2","00127.mpls","31"
MSG:3307,0,2,"File 00128.mpls was added as title #32","File %1 was added as title #%2","00128.mpls","32"
MSG:3307,0,2,"File 00129.mpls was added as title #33","File %1 was added as title #%2","00129.mpls","33"
MSG:3307,0,2,"File 00130.mpls was added as title #34","File %1 was added as title #%2","00130.mpls","34"
MSG:3307,0,2,"File 00131.mpls was added as title #35","File %1 was added as title #%2","00131.mpls","35"
MSG:3307,0,2,"File 00133.mpls was added as title #36","File %1 was added as title #%2","00133.mpls","36"
MSG:3307,0,2,"File 00134.mpls was added as title #37","File %1 was added as title #%2","00134.mpls","37"
MSG:3307,0,2,"File 00135.mpls was added as title #38","File %1 was added as title #%2","00135.mpls","38"
MSG:3307,0,2,"File 00136.mpls was added as title #39","File %1 was added as title #%2","00136.mpls","39"
MSG:3307,0,2,"File 00137.mpls was added as title #40","File %1 was added as title #%2","00137.mpls","40"
MSG:3307,0,2,"File 00138.mpls was added as title #41","File %1 was added as title #%2","00138.mpls","41"
MSG:3307,0,2,"File 00139.mpls was added as title #42","File %1 was added as title #%2","00139.mpls","42"
MSG:3307,0,2,"File 00140.mpls was added as title #43","File %1 was added as title #%2","00140.mpls","43"
MSG:3307,0,2,"File 00141.mpls was added as title #44","File %1 was added as title #%2","00141.mpls","44"
MSG:3307,0,2,"File 00142.mpls was added as title #45","File %1 was added as title #%2","00142.mpls","45"
MSG:3307,0,2,"File 00040.mpls was added as title #46","File %1 was added as title #%2","00040.mpls","46"
MSG:3307,0,2,"File 00041.mpls was added as title #47","File %1 was added as title #%2","00041.mpls","47"
MSG:3307,0,2,"File 00042.mpls was added as title #48","File %1 was added as title #%2","00042.mpls","48"
MSG:3307,0,2,"File 00200.mpls was added as title #49","File %1 was added as title #%2","00200.mpls","49"
MSG:3307,0,2,"File 00201.mpls was added as title #50","File %1 was added as title #%2","00201.mpls","50"
MSG:3307,0,2,"File 00202.mpls was added as title #51","File %1 was added as title #%2","00202.mpls","51"
MSG:3307,0,2,"File 00203.mpls was added as title #52","File %1 was added as title #%2","00203.mpls","52"
MSG:3307,0,2,"File 00204.mpls was added as title #53","File %1 was added as title #%2","00204.mpls","53"
MSG:3307,16777216,2,"File 00205.mpls was added as title #54","File %1 was added as title #%2","00205.mpls","54"
MSG:3307,16777216,2,"File 00206.mpls was added as title #55","File %1 was added as title #%2","00206.mpls","55"
MSG:3307,0,2,"File 00207.mpls was added as title #56","File %1 was added as title #%2","00207.mpls","56"
MSG:3307,0,2,"File 00208.mpls was added as title #57","File %1 was added as title #%2","00208.mpls","57"
MSG:3307,0,2,"File 00209.mpls was added as title #58","File %1 was added as title #%2","00209.mpls","58"
MSG:3307,0,2,"File 00210.mpls was added as title #59","File %1 was added as title #%2","00210.mpls","59"
MSG:3307,16777216,2,"File 00211.mpls was added as title #60","File %1 was added as title #%2","00211.mpls","60"
MSG:3307,0,2,"File 00212.mpls was added as title #61","File %1 was added as title #%2","00212.mpls","61"
MSG:3307,0,2,"File 00213.mpls was added as title #62","File %1 was added as title #%2","00213.mpls","62"
MSG:3307,0,2,"File 00214.mpls was added as title #63","File %1 was added as title #%2","00214.mpls","63"
MSG:3307,0,2,"File 00215.mpls was added as title #64","File %1 was added as title #%2","00215.mpls","64"
MSG:3307,0,2,"File 00216.mpls was added as title #65","File %1 was added as title #%2","00216.mpls","65"
MSG:3307,0,2,"File 00217.mpls was added as title #66","File %1 was added as title #%2","00217.mpls","66"
MSG:3307,16777216,2,"File 00218.mpls was added as title #67","File %1 was added as title #%2","00218.mpls","67"
MSG:3307,0,2,"File 00219.mpls was added as title #68","File %1 was added as title #%2","00219.mpls","68"
MSG:3307,0,2,"File 00220.mpls was added as title #69","File %1 was added as title #%2","00220.mpls","69"
MSG:3307,0,2,"File 00221.mpls was added as title #70","File %1 was added as title #%2","00221.mpls","70"
MSG:3307,0,2,"File 00222.mpls was added as title #71","File %1 was added as title #%2","00222.mpls","71"
MSG:3307,16777216,2,"File 00223.mpls was added as title #72","File %1 was added as title #%2","00223.mpls","72"
MSG:3307,0,2,"File 00224.mpls was added as title #73","File %1 was added as title #%2","00224.mpls","73"
