MSG:1005,0,1,"MakeMKV v1.18.3 win(x64-release) started","%1 started","MakeMKV v1.18.3 win(x64-release)"
DRV:0,2,999,12,"***","***","***"
DRV:1,256,999,0,"","",""
DRV:2,256,999,0,"","",""
DRV:3,256,999,0,"","",""
DRV:4,256,999,0,"","",""
DRV:5,256,999,0,"","",""
DRV:6,256,999,0,"","",""
DRV:7,256,999,0,"","",""
DRV:8,256,999,0,"","",""
DRV:9,256,999,0,"","",""
DRV:10,256,999,0,"","",""
DRV:11,256,999,0,"","",""
DRV:12,256,999,0,"","",""
DRV:13,256,999,0,"","",""
DRV:14,256,999,0,"","",""
DRV:15,256,999,0,"","",""
MSG:1011,0,1,"Using LibreDrive mode (v06.3 id=0FA242DD4D0B)","%1","Using LibreDrive mode (v06.3 id=0FA242DD4D0B)"
MSG:3007,0,0,"Using direct disc access mode","Using direct disc access mode"
MSG:5085,0,0,"Loaded content hash table, will verify integrity of M2TS files.","Loaded content hash table, will verify integrity of M2TS files."
MSG:3344,0,1,"Using Java runtime from C:\\Program Files\\Java\\jre1.8.0_481\\bin\\java.exe","Using Java runtime from %1","C:\\Program Files\\Java\\jre1.8.0_481\\bin\\java.exe"
MSG:3307,0,2,"File 00152.mpls was added as title #0","File %1 was added as title #%2","00152.mpls","0"
MSG:3307,0,2,"File 01163.mpls was added as title #1","File %1 was added as title #%2","01163.mpls","1"
MSG:3307,0,2,"File 01313.mpls was added as title #2","File %1 was added as title #%2","01313.mpls","2"
MSG:3307,0,2,"File 01314.mpls was added as title #3","File %1 was added as title #%2","01314.mpls","3"
MSG:3307,16777216,2,"File 00004.mpls was added as title #4","File %1 was added as title #%2","00004.mpls","4"
MSG:3307,16777216,2,"File 01129.mpls was added as title #5","File %1 was added as title #%2","01129.mpls","5"
MSG:3307,0,2,"File 01132.mpls was added as title #6","File %1 was added as title #%2","01132.mpls","6"
MSG:3307,0,2,"File 01136.mpls was added as title #7","File %1 was added as title #%2","01136.mpls","7"
MSG:3307,16777216,2,"File 01133.mpls was added as title #8","File %1 was added as title #%2","01133.mpls","8"
MSG:3307,16777216,2,"File 01135.mpls was added as title #9","File %1 was added as title #%2","01135.mpls","9"
MSG:3307,16777216,2,"File 01156.mpls was added as title #10","File %1 was added as title #%2","01156.mpls","10"
MSG:3307,0,2,"File 01157.mpls was added as title #11","File %1 was added as title #%2","01157.mpls","11"
MSG:3307,16777216,2,"File 01158.mpls was added as title #12","File %1 was added as title #%2","01158.mpls","12"
MSG:3307,0,2,"File 01159.mpls was added as title #13","File %1 was added as title #%2","01159.mpls","13"
MSG:3307,16777216,2,"File 01160.mpls was added as title #14","File %1 was added as title #%2","01160.mpls","14"
MSG:3307,0,2,"File 01161.mpls was added as title #15","File %1 was added as title #%2","01161.mpls","15"
MSG:3307,0,2,"File 01141.mpls was added as title #16","File %1 was added as title #%2","01141.mpls","16"
MSG:3307,0,2,"File 01142.mpls was added as title #17","File %1 was added as title #%2","01142.mpls","17"
MSG:3307,0,2,"File 01143.mpls was added as title #18","File %1 was added as title #%2","01143.mpls","18"
MSG:3307,0,2,"File 01144.mpls was added as title #19","File %1 was added as title #%2","01144.mpls","19"
MSG:3307,0,2,"File 01145.mpls was added as title #20","File %1 was added as title #%2","01145.mpls","20"
MSG:3307,0,2,"File 01146.mpls was added as title #21","File %1 was added as title #%2","01146.mpls","21"
MSG:3307,0,2,"File 01147.mpls was added as title #22","File %1 was added as title #%2","01147.mpls","22"
MSG:3307,0,2,"File 01148.mpls was added as title #23","File %1 was added as title #%2","01148.mpls","23"
MSG:3307,0,2,"File 01149.mpls was added as title #24","File %1 was added as title #%2","01149.mpls","24"
MSG:3307,0,2,"File 01319.mpls was added as title #25","File %1 was added as title #%2","01319.mpls","25"
MSG:3307,0,2,"File 01320.mpls was added as title #26","File %1 was added as title #%2","01320.mpls","26"
MSG:3307,0,2,"File 01321.mpls was added as title #27","File %1 was added as title #%2","01321.mpls","27"
MSG:3307,0,2,"File 01322.mpls was added as title #28","File %1 was added as title #%2","01322.mpls","28"
MSG:3307,0,2,"File 01323.mpls was added as title #29","File %1 was added as title #%2","01323.mpls","29"
MSG:3307,0,2,"File 01335.mpls was added as title #30","File %1 was added as title #%2","01335.mpls","30"
MSG:3307,0,2,"File 01336.mpls was added as title #31","File %1 was added as title #%2","01336.mpls","31"
MSG:3307,0,2,"File 01338.mpls was added as title #32","File %1 was added as title #%2","01338.mpls","32"
MSG:3307,0,2,"File 00156.mpls was added as title #33","File %1 was added as title #%2","00156.mpls","33"
MSG:3307,0,2,"File 00157.mpls was added as title #34","File %1 was added as title #%2","00157.mpls","34"
MSG:3307,16777216,2,"File 01349.mpls was added as title #35","File %1 was added as title #%2","01349.mpls","35"
MSG:3307,0,2,"File 01350.mpls was added as title #36","File %1 was added as title #%2","01350.mpls","36"
MSG:3307,16777216,2,"File 01351.mpls was added as title #37","File %1 was added as title #%2","01351.mpls","37"
MSG:3307,16777216,2,"File 01352.mpls was added as title #38","File %1 was added as title #%2","01352.mpls","38"
MSG:3307,0,2,"File 01353.mpls was added as title #39","File %1 was added as title #%2","01353.mpls","39"
MSG:3307,0,2,"File 01354.mpls was added as title #40","File %1 was added as title #%2","01354.mpls","40"
MSG:3307,0,2,"File 01355.mpls was added as title #41","File %1 was added as title #%2","01355.mpls","41"
MSG:3307,16777216,2,"File 01356.mpls was added as title #42","File %1 was added as title #%2","01356.mpls","42"
MSG:3307,0,2,"File 01357.mpls was added as title #43","File %1 was added as title #%2","01357.mpls","43"
MSG:3307,0,2,"File 01358.mpls was added as title #44","File %1 was added as title #%2","01358.mpls","44"
MSG:3307,16777216,2,"File 01359.mpls was added as title #45","File %1 was added as title #%2","01359.mpls","45"
MSG:3307,16777216,2,"File 01360.mpls was added as title #46","File %1 was added as title #%2","01360.mpls","46"
MSG:3307,0,2,"File 01361.mpls was added as title #47","File %1 was added as title #%2","01361.mpls","47"
MSG:3307,0,2,"File 01362.mpls was added as title #48","File %1 was added as title #%2","01362.mpls","48"
MSG:3307,16777216,2,"File 01363.mpls was added as title #49","File %1 was added as title #%2","01363.mpls","49"
MSG:3307,0,2,"File 01364.mpls was added as title #50","File %1 was added as title #%2","01364.mpls","50"
MSG:3307,0,2,"File 01365.mpls was added as title #51","File %1 was added as title #%2","01365.mpls","51"
MSG:3307,16777216,2,"File 01366.mpls was added as title #52","File %1 was added as title #%2","01366.mpls","52"
MSG:3307,16777216,2,"File 01367.mpls was added as title #53","File %1 was added as title #%2","01367.mpls","53"
MSG:3307,0,2,"File 01368.mpls was added as title #54","File %1 was added as title #%2","01368.mpls","54"
MSG:3307,16777216,2,"File 01369.mpls was added as title #55","File %1 was added as title #%2","01369.mpls","55"
MSG:3307,0,2,"File 01370.mpls was added as title #56","File %1 was added as title #%2","01370.mpls","56"
MSG:3307,16777216,2,"File 01371.mpls was added as title #57","File %1 was added as title #%2","01371.mpls","57"
MSG:3307,16777216,2,"File 01372.mpls was added as title #58","File %1 was added as title #%2","01372.mpls","58"
MSG:3307,0,2,"File 01373.mpls was added as title #59","File %1 was added as title #%2","01373.mpls","59"
MSG:3307,16777216,2,"File 01374.mpls was added as title #60","File %1 was added as title #%2","01374.mpls","60"
MSG:3307,16777216,2,"File 01375.mpls was added as title #61","File %1 was added as title #%2","01375.mpls","61"
MSG:3307,0,2,"File 01376.mpls was added as title #62","File %1 was added as title #%2","01376.mpls","62"
MSG:3307,16777216,2,"File 01377.mpls was added as title #63","File %1 was added as title #%2","01377.mpls","63"
MSG:3307,0,2,"File 01378.mpls was added as title #64","File %1 was added as title #%2","01378.mpls","64"
MSG:3307,16777216,2,"File 01379.mpls was added as title #65","File %1 was added as title #%2","01379.mpls","65"
MSG:3307,16777216,2,"File 01380.mpls was added as title #66","File %1 was added as title #%2","01380.mpls","66"
MSG:3307,0,2,"File 01381.mpls was added as title #67","File %1 was added as title #%2","01381.mpls","67"
MSG:3307,16777216,2,"File 01382.mpls was added as title #68","File %1 was added as title #%2","01382.mpls","68"
MSG:3307,0,2,"File 01383.mpls was added as title #69","File %1 was added as title #%2","01383.mpls","69"
MSG:3307,16777216,2,"File 01404.mpls was added as title #70","File %1 was added as title #%2","01404.mpls","70"
MSG:3307,16777216,2,"File 01405.mpls was added as title #71","File %1 was added as title #%2","01405.mpls","71"
MSG:3307,0,2,"File 01406.mpls was added as title #72","File %1 was added as title #%2","01406.mpls","72"
MSG:3307,16777216,2,"File 01407.mpls was added as title #73","File %1 was added as title #%2","01407.mpls","73"
MSG:3307,16777216,2,"File 01408.mpls was added as title #74","File %1 was added as title #%2","01408.mpls","74"
MSG:3307,0,2,"File 01409.mpls was added as title #75","File %1 was added as title #%2","01409.mpls","75"
MSG:3307,16777216,2,"File 01410.mpls was added as title #76","File %1 was added as title #%2","01410.mpls","76"
MSG:3307,0,2,"File 01411.mpls was added as title #77","File %1 was added as title #%2","01411.mpls","77"
MSG:3307,16777216,2,"File 01412.mpls was added as title #78","File %1 was added as title #%2","01412.mpls","78"
MSG:3307,0,2,"File 01413.mpls was added as title #79","File %1 was added as title #%2","01413.mpls","79"
MSG:3307,16777216,2,"File 01414.mpls was added as title #80","File %1 was added as title #%2","01414.mpls","80"
MSG:3307,0,2,"File 01415.mpls was added as title #81","File %1 was added as title #%2","01415.mpls","81"
MSG:3307,16777216,2,"File 01416.mpls was added as title #82","File %1 was added as title #%2","01416.mpls","82"
MSG:3307,16777216,2,"File 01417.mpls was added as title #83","File %1 was added as title #%2","01417.mpls","83"
MSG:3307,0,2,"File 01418.mpls was added as title #84","File %1 was added as title #%2","01418.mpls","84"
MSG:3307,16777216,2,"File 01419.mpls was added as title #85","File %1 was added as title #%2","01419.mpls","85"
MSG:3307,16777216,2,"File 01420.mpls was added as title #86","File %1 was added as title #%2","01420.mpls","86"
MSG:3307,0,2,"File 01421.mpls was added as title #87","File %1 was added as title #%2","01421.mpls","87"
MSG:3307,16777216,2,"File 01422.mpls was added as title #88","File %1 was added as title #%2","01422.mpls","88"
MSG:3307,0,2,"File 01423.mpls was added as title #89","File %1 was added as title #%2","01423.mpls","89"
MSG:3307,16777216,2,"File 01424.mpls was added as title #90","File %1 was added as title #%2","01424.mpls","90"
MSG:3307,0,2,"File 01425.mpls was added as title #91","File %1 was added as title #%2","01425.mpls","91"
MSG:3307,16777216,2,"File 01426.mpls was added as title #92","File %1 was added as title #%2","01426.mpls","92"
MSG:3307,0,2,"File 01427.mpls was added as title #93","File %1 was added as title #%2","01427.mpls","93"
MSG:3307,16777216,2,"File 01428.mpls was added as title #94","File %1 was added as title #%2","01428.mpls","94"
MSG:3307,16777216,2,"File 01429.mpls was added as title #95","File %1 was added as title #%2","01429.mpls","95"
MSG:3307,0,2,"File 01430.mpls was added as title #96","File %1 was added as title #%2","01430.mpls","96"
MSG:3307,0,2,"File 01431.mpls was added as title #97","File %1 was added as title #%2","01431.mpls","97"
MSG:3307,16777216,2,"File 01432.mpls was added as title #98","File %1 was added as title #%2","01432.mpls","98"
MSG:3307,16777216,2,"File 01433.mpls was added as title #99","File %1 was added as title #%2","01433.mpls","99"
MSG:3307,0,2,"File 01434.mpls was added as title #100","File %1 was added as title #%2","01434.mpls","100"
MSG:3307,16777216,2,"File 01435.mpls was added as title #101","File %1 was added as title #%2","01435.mpls","101"
MSG:3307,0,2,"File 01436.mpls was added as title #102","File %1 was added as title #%2","01436.mpls","102"
MSG:3307,16777216,2,"File 01437.mpls was added as title #103","File %1 was added as title #%2","01437.mpls","103"
MSG:3307,0,2,"File 01440.mpls was added as title #104","File %1 was added as title #%2","01440.mpls","104"
MSG:3307,16777216,2,"File 01441.mpls was added as title #105","File %1 was added as title #%2","01441.mpls","105"
MSG:3307,16777216,2,"File 01442.mpls was added as title #106","File %1 was added as title #%2","01442.mpls","106"
MSG:3307,0,2,"File 01443.mpls was added as title #107","File %1 was added as title #%2","01443.mpls","107"
MSG:3307,16777216,2,"File 01444.mpls was added as title #108","File %1 was added as title #%2","01444.mpls","108"
MSG:3307,0,2,"File 01445.mpls was added as title #109","File %1 was added as title #%2","01445.mpls","109"
MSG:3307,16777216,2,"File 01446.mpls was added as title #110","File %1 was added as title #%2","01446.mpls","110"
MSG:3307,0,2,"File 01447.mpls was added as title #111","File %1 was added as title #%2","01447.mpls","111"
MSG:3307,0,2,"File 01150.mpls was added as title #112","File %1 was added as title #%2","01150.mpls","112"
MSG:3307,0,2,"File 00802.mpls was added as title #113","File %1 was added as title #%2","00802.mpls","113"
MSG:3307,0,2,"File 01477.mpls was added as title #114","File %1 was added as title #%2","01477.mpls","114"
MSG:3307,16777216,2,"File 01479.mpls was added as title #115","File %1 was added as title #%2","01479.mpls","115"
MSG:3307,0,2,"File 01617.mpls was added as title #116","File %1 was added as title #%2","01617.mpls","116"
MSG:3307,16777216,2,"File 01618.mpls was added as title #117","File %1 was added as title #%2","01618.mpls","117"
MSG:3307,0,2,"File 01619.mpls was added as title #118","File %1 was added as title #%2","01619.mpls","118"
MSG:3307,16777216,2,"File 01324.mpls was added as title #119","File %1 was added as title #%2","01324.mpls","119"
MSG:3307,0,2,"File 01621.mpls was added as title #120","File %1 was added as title #%2","01621.mpls","120"
MSG:3307,16777216,2,"File 01622.mpls was added as title #121","File %1 was added as title #%2","01622.mpls","121"
MSG:3307,16777216,2,"File 01624.mpls was added as title #122","File %1 was added as title #%2","01624.mpls","122"
MSG:3307,0,2,"File 01625.mpls was added as title #123","File %1 was added as title #%2","01625.mpls","123"
MSG:3307,0,2,"File 00020.mpls was added as title #124","File %1 was added as title #%2","00020.mpls","124"
MSG:3307,0,2,"File 00800.mpls was added as title #125","File %1 was added as title #%2","00800.mpls","125"
MSG:3307,0,2,"File 01630.mpls was added as title #126","File %1 was added as title #%2","01630.mpls","126"
MSG:3307,0,2,"File 01631.mpls was added as title #127","File %1 was added as title #%2","01631.mpls","127"
MSG:3307,16777216,2,"File 01632.mpls was added as title #128","File %1 was added as title #%2","01632.mpls","128"
MSG:3307,16777216,2,"File 01316.mpls was added as title #129","File %1 was added as title #%2","01316.mpls","129"
MSG:3309,16777216,2,"Title 01317.mpls is equal to title 01163.mpls and was skipped","Title %1 is equal to title %2 and was skipped","01317.mpls","01163.mpls"
MSG:3307,16777216,2,"File 01334.mpls was added as title #130","File %1 was added as title #%2","01334.mpls","130"
MSG:3307,16777216,2,"File 01340.mpls was added as title #131","File %1 was added as title #%2","01340.mpls","131"
MSG:3309,16777216,2,"Title 01340.mpls(1) is equal to title 01338.mpls and was skipped","Title %1 is equal to title %2 and was skipped","01340.mpls(1)","01338.mpls"
MSG:3307,16777216,2,"File 01476.mpls was added as title #132","File %1 was added as title #%2","01476.mpls","132"
MSG:3307,16777216,2,"File 01478.mpls was added as title #133","File %1 was added as title #%2","01478.mpls","133"
MSG:3307,16777216,2,"File 01623.mpls was added as title #134","File %1 was added as title #%2","01623.mpls","134"
MSG:3307,16777216,2,"File 01626.mpls was added as title #135","File %1 was added as title #%2","01626.mpls","135"
MSG:3307,16777216,2,"File 01627.mpls was added as title #136","File %1 was added as title #%2","01627.mpls","136"
MSG:3309,16777216,2,"Title 00911.mpls is equal to title 00800.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00911.mpls","00800.mpls"
MSG:3307,16777216,2,"File 00178.m2ts was added as title #137","File %1 was added as title #%2","00178.m2ts","137"
MSG:3307,16777216,2,"File 00334.m2ts was added as title #138","File %1 was added as title #%2","00334.m2ts","138"
MSG:3307,16777216,2,"File 00437.m2ts was added as title #139","File %1 was added as title #%2","00437.m2ts","139"
MSG:3307,16777216,2,"File 00438.m2ts was added as title #140","File %1 was added as title #%2","00438.m2ts","140"
MSG:3307,16777216,2,"File 00246.m2ts was added as title #141","File %1 was added as title #%2","00246.m2ts","141"
MSG:3307,16777216,2,"File 00264.m2ts was added as title #142","File %1 was added as title #%2","00264.m2ts","142"
MSG:3307,16777216,2,"File 00303.m2ts was added as title #143","File %1 was added as title #%2","00303.m2ts","143"
MSG:3307,16777216,2,"File 00307.m2ts was added as title #144","File %1 was added as title #%2","00307.m2ts","144"
MSG:3307,16777216,2,"File 00304.m2ts was added as title #145","File %1 was added as title #%2","00304.m2ts","145"
MSG:3307,16777216,2,"File 00306.m2ts was added as title #146","File %1 was added as title #%2","00306.m2ts","146"
MSG:3307,16777216,2,"File 00327.m2ts was added as title #147","File %1 was added as title #%2","00327.m2ts","147"
MSG:3307,16777216,2,"File 00328.m2ts was added as title #148","File %1 was added as title #%2","00328.m2ts","148"
MSG:3307,16777216,2,"File 00329.m2ts was added as title #149","File %1 was added as title #%2","00329.m2ts","149"
MSG:3307,16777216,2,"File 00330.m2ts was added as title #150","File %1 was added as title #%2","00330.m2ts","150"
MSG:3307,16777216,2,"File 00331.m2ts was added as title #151","File %1 was added as title #%2","00331.m2ts","151"
MSG:3307,16777216,2,"File 00332.m2ts was added as title #152","File %1 was added as title #%2","00332.m2ts","152"
MSG:3307,16777216,2,"File 00312.m2ts was added as title #153","File %1 was added as title #%2","00312.m2ts","153"
MSG:3307,16777216,2,"File 00313.m2ts was added as title #154","File %1 was added as title #%2","00313.m2ts","154"
MSG:3307,16777216,2,"File 00314.m2ts was added as title #155","File %1 was added as title #%2","00314.m2ts","155"
MSG:3307,16777216,2,"File 00315.m2ts was added as title #156","File %1 was added as title #%2","00315.m2ts","156"
MSG:3307,16777216,2,"File 00316.m2ts was added as title #157","File %1 was added as title #%2","00316.m2ts","157"
MSG:3307,16777216,2,"File 00317.m2ts was added as title #158","File %1 was added as title #%2","00317.m2ts","158"
