MSG:1005,0,1,"MakeMKV v1.18.3 win(x64-release) started","%1 started","MakeMKV v1.18.3 win(x64-release)"
DRV:0,2,999,12,"***","***","***"
DRV:1,256,999,0,"","",""
DRV:2,256,999,0,"","",""
DRV:3,256,999,0,"","",""
DRV:4,256,999,0,"","",""
DRV:5,256,999,0,"","",""
DRV:6,256,999,0,"","",""
DRV:7,256,999,0,"","",""
DRV:8,256,999,0,"","",""
DRV:9,256,999,0,"","",""
DRV:10,256,999,0,"","",""
DRV:11,256,999,0,"","",""
DRV:12,256,999,0,"","",""
DRV:13,256,999,0,"","",""
DRV:14,256,999,0,"","",""
DRV:15,256,999,0,"","",""
MSG:1011,0,1,"Using LibreDrive mode (v06.3 id=0FA242DD4D0B)","%1","Using LibreDrive mode (v06.3 id=0FA242DD4D0B)"
MSG:3007,0,0,"Using direct disc access mode","Using direct disc access mode"
MSG:5085,0,0,"Loaded content hash table, will verify integrity of M2TS files.","Loaded content hash table, will verify integrity of M2TS files."
MSG:3344,0,1,"Using Java runtime from C:\\Program Files\\Java\\jre1.8.0_481\\bin\\java.exe","Using Java runtime from %1","C:\\Program Files\\Java\\jre1.8.0_481\\bin\\java.exe"
MSG:3307,0,2,"File 00152.mpls was added as title #0","File %1 was added as title #%2","00152.mpls","0"
MSG:3307,0,2,"File 01163.mpls was added as title #1","File %1 was added as title #%2","01163.mpls","1"
MSG:3307,0,2,"File 01313.mpls was added as title #2","File %1 was added as title #%2","01313.mpls","2"
MSG:3307,0,2,"File 01314.mpls was added as title #3","File %1 was added as title #%2","01314.mpls","3"
MSG:3307,0,2,"File 01134.mpls was added as title #4","File %1 was added as title #%2","01134.mpls","4"
MSG:3307,0,2,"File 01129.mpls was added as title #5","File %1 was added as title #%2","01129.mpls","5"
MSG:3307,0,2,"File 01136.mpls was added as title #6","File %1 was added as title #%2","01136.mpls","6"
MSG:3307,0,2,"File 01133.mpls was added as title #7","File %1 was added as title #%2","01133.mpls","7"
MSG:3307,0,2,"File 01157.mpls was added as title #8","File %1 was added as title #%2","01157.mpls","8"
MSG:3307,0,2,"File 01158.mpls was added as title #9","File %1 was added as title #%2","01158.mpls","9"
MSG:3307,0,2,"File 01159.mpls was added as title #10","File %1 was added as title #%2","01159.mpls","10"
MSG:3307,0,2,"File 01161.mpls was added as title #11","File %1 was added as title #%2","01161.mpls","11"
MSG:3307,0,2,"File 01141.mpls was added as title #12","File %1 was added as title #%2","01141.mpls","12"
MSG:3307,0,2,"File 01142.mpls was added as title #13","File %1 was added as title #%2","01142.mpls","13"
MSG:3307,0,2,"File 01143.mpls was added as title #14","File %1 was added as title #%2","01143.mpls","14"
MSG:3307,0,2,"File 01145.mpls was added as title #15","File %1 was added as title #%2","01145.mpls","15"
MSG:3307,0,2,"File 01147.mpls was added as title #16","File %1 was added as title #%2","01147.mpls","16"
MSG:3307,0,2,"File 01335.mpls was added as title #17","File %1 was added as title #%2","01335.mpls","17"
MSG:3307,0,2,"File 01336.mpls was added as title #18","File %1 was added as title #%2","01336.mpls","18"
MSG:3307,0,2,"File 01338.mpls was added as title #19","File %1 was added as title #%2","01338.mpls","19"
MSG:3307,0,2,"File 00156.mpls was added as title #20","File %1 was added as title #%2","00156.mpls","20"
MSG:3307,0,2,"File 00157.mpls was added as title #21","File %1 was added as title #%2","00157.mpls","21"
MSG:3307,0,2,"File 01375.mpls was added as title #22","File %1 was added as title #%2","01375.mpls","22"
MSG:3307,0,2,"File 01383.mpls was added as title #23","File %1 was added as title #%2","01383.mpls","23"
MSG:3307,0,2,"File 01407.mpls was added as title #24","File %1 was added as title #%2","01407.mpls","24"
MSG:3307,0,2,"File 01413.mpls was added as title #25","File %1 was added as title #%2","01413.mpls","25"
MSG:3307,0,2,"File 01417.mpls was added as title #26","File %1 was added as title #%2","01417.mpls","26"
MSG:3307,0,2,"File 01418.mpls was added as title #27","File %1 was added as title #%2","01418.mpls","27"
MSG:3307,0,2,"File 01424.mpls was added as title #28","File %1 was added as title #%2","01424.mpls","28"
MSG:3307,16777216,2,"File 01426.mpls was added as title #29","File %1 was added as title #%2","01426.mpls","29"
MSG:3307,0,2,"File 01139.mpls was added as title #30","File %1 was added as title #%2","01139.mpls","30"
MSG:3307,16777216,2,"File 01477.mpls was added as title #31","File %1 was added as title #%2","01477.mpls","31"
MSG:3307,0,2,"File 01479.mpls was added as title #32","File %1 was added as title #%2","01479.mpls","32"
MSG:3307,0,2,"File 01617.mpls was added as title #33","File %1 was added as title #%2","01617.mpls","33"
MSG:3307,0,2,"File 01618.mpls was added as title #34","File %1 was added as title #%2","01618.mpls","34"
MSG:3307,0,2,"File 01619.mpls was added as title #35","File %1 was added as title #%2","01619.mpls","35"
MSG:3307,0,2,"File 01324.mpls was added as title #36","File %1 was added as title #%2","01324.mpls","36"
MSG:3307,0,2,"File 01621.mpls was added as title #37","File %1 was added as title #%2","01621.mpls","37"
MSG:3307,0,2,"File 01622.mpls was added as title #38","File %1 was added as title #%2","01622.mpls","38"
MSG:3307,0,2,"File 01624.mpls was added as title #39","File %1 was added as title #%2","01624.mpls","39"
MSG:3307,0,2,"File 01625.mpls was added as title #40","File %1 was added as title #%2","01625.mpls","40"
MSG:3307,0,2,"File 01628.mpls was added as title #41","File %1 was added as title #%2","01628.mpls","41"
MSG:3307,0,2,"File 01631.mpls was added as title #42","File %1 was added as title #%2","01631.mpls","42"
MSG:3307,0,2,"File 01632.mpls was added as title #43","File %1 was added as title #%2","01632.mpls","43"
MSG:3307,0,2,"File 01633.mpls was added as title #44","File %1 was added as title #%2","01633.mpls","44"
MSG:3307,0,2,"File 01634.mpls was added as title #45","File %1 was added as title #%2","01634.mpls","45"
MSG:3307,0,2,"File 01635.mpls was added as title #46","File %1 was added as title #%2","01635.mpls","46"
MSG:3307,0,2,"File 01636.mpls was added as title #47","File %1 was added as title #%2","01636.mpls","47"
MSG:3307,0,2,"File 01637.mpls was added as title #48","File %1 was added as title #%2","01637.mpls","48"
MSG:3307,0,2,"File 01638.mpls was added as title #49","File %1 was added as title #%2","01638.mpls","49"
MSG:3307,0,2,"File 01639.mpls was added as title #50","File %1 was added as title #%2","01639.mpls","50"
MSG:3307,0,2,"File 01640.mpls was added as title #51","File %1 was added as title #%2","01640.mpls","51"
MSG:3307,0,2,"File 01641.mpls was added as title #52","File %1 was added as title #%2","01641.mpls","52"
MSG:3307,0,2,"File 01642.mpls was added as title #53","File %1 was added as title #%2","01642.mpls","53"
MSG:3307,0,2,"File 01643.mpls was added as title #54","File %1 was added as title #%2","01643.mpls","54"
MSG:3307,0,2,"File 01644.mpls was added as title #55","File %1 was added as title #%2","01644.mpls","55"
MSG:3307,0,2,"File 01645.mpls was added as title #56","File %1 was added as title #%2","01645.mpls","56"
MSG:3307,0,2,"File 01646.mpls was added as title #57","File %1 was added as title #%2","01646.mpls","57"
MSG:3307,0,2,"File 01647.mpls was added as title #58","File %1 was added as title #%2","01647.mpls","58"
MSG:3307,0,2,"File 01648.mpls was added as title #59","File %1 was added as title #%2","01648.mpls","59"
MSG:3307,0,2,"File 01649.mpls was added as title #60","File %1 was added as title #%2","01649.mpls","60"
MSG:3307,0,2,"File 01650.mpls was added as title #61","File %1 was added as title #%2","01650.mpls","61"
MSG:3307,0,2,"File 01651.mpls was added as title #62","File %1 was added as title #%2","01651.mpls","62"
MSG:3307,0,2,"File 01652.mpls was added as title #63","File %1 was added as title #%2","01652.mpls","63"
MSG:3307,0,2,"File 01653.mpls was added as title #64","File %1 was added as title #%2","01653.mpls","64"
MSG:3307,0,2,"File 01654.mpls was added as title #65","File %1 was added as title #%2","01654.mpls","65"
MSG:3307,0,2,"File 01655.mpls was added as title #66","File %1 was added as title #%2","01655.mpls","66"
MSG:3307,0,2,"File 01656.mpls was added as title #67","File %1 was added as title #%2","01656.mpls","67"
MSG:3307,0,2,"File 01657.mpls was added as title #68","File %1 was added as title #%2","01657.mpls","68"
MSG:3307,0,2,"File 01658.mpls was added as title #69","File %1 was added as title #%2","01658.mpls","69"
MSG:3307,0,2,"File 01659.mpls was added as title #70","File %1 was added as title #%2","01659.mpls","70"
MSG:3307,0,2,"File 01660.mpls was added as title #71","File %1 was added as title #%2","01660.mpls","71"
MSG:3307,0,2,"File 01661.mpls was added as title #72","File %1 was added as title #%2","01661.mpls","72"
MSG:3307,0,2,"File 01662.mpls was added as title #73","File %1 was added as title #%2","01662.mpls","73"
MSG:3307,0,2,"File 01663.mpls was added as title #74","File %1 was added as title #%2","01663.mpls","74"
MSG:3307,0,2,"File 01664.mpls was added as title #75","File %1 was added as title #%2","01664.mpls","75"
MSG:3307,0,2,"File 01665.mpls was added as title #76","File %1 was added as title #%2","01665.mpls","76"
MSG:3307,0,2,"File 01666.mpls was added as title #77","File %1 was added as title #%2","01666.mpls","77"
MSG:3307,0,2,"File 01667.mpls was added as title #78","File %1 was added as title #%2","01667.mpls","78"
MSG:3307,0,2,"File 01668.mpls was added as title #79","File %1 was added as title #%2","01668.mpls","79"
MSG:3307,0,2,"File 01669.mpls was added as title #80","File %1 was added as title #%2","01669.mpls","80"
MSG:3307,0,2,"File 01670.mpls was added as title #81","File %1 was added as title #%2","01670.mpls","81"
MSG:3307,0,2,"File 01671.mpls was added as title #82","File %1 was added as title #%2","01671.mpls","82"
MSG:3307,0,2,"File 01672.mpls was added as title #83","File %1 was added as title #%2","01672.mpls","83"
MSG:3307,0,2,"File 01673.mpls was added as title #84","File %1 was added as title #%2","01673.mpls","84"
MSG:3307,0,2,"File 01674.mpls was added as title #85","File %1 was added as title #%2","01674.mpls","85"
MSG:3307,0,2,"File 01675.mpls was added as title #86","File %1 was added as title #%2","01675.mpls","86"
MSG:3307,0,2,"File 01676.mpls was added as title #87","File %1 was added as title #%2","01676.mpls","87"
MSG:3307,0,2,"File 01677.mpls was added as title #88","File %1 was added as title #%2","01677.mpls","88"
MSG:3307,0,2,"File 01678.mpls was added as title #89","File %1 was added as title #%2","01678.mpls","89"
MSG:3307,0,2,"File 01679.mpls was added as title #90","File %1 was added as title #%2","01679.mpls","90"
MSG:3307,0,2,"File 01680.mpls was added as title #91","File %1 was added as title #%2","01680.mpls","91"
MSG:3307,0,2,"File 01681.mpls was added as title #92","File %1 was added as title #%2","01681.mpls","92"
MSG:3307,0,2,"File 01682.mpls was added as title #93","File %1 was added as title #%2","01682.mpls","93"
MSG:3307,0,2,"File 01683.mpls was added as title #94","File %1 was added as title #%2","01683.mpls","94"
MSG:3307,0,2,"File 01684.mpls was added as title #95","File %1 was added as title #%2","01684.mpls","95"
MSG:3307,0,2,"File 01685.mpls was added as title #96","File %1 was added as title #%2","01685.mpls","96"
MSG:3307,0,2,"File 01686.mpls was added as title #97","File %1 was added as title #%2","01686.mpls","97"
MSG:3307,0,2,"File 01687.mpls was added as title #98","File %1 was added as title #%2","01687.mpls","98"
MSG:3307,0,2,"File 01688.mpls was added as title #99","File %1 was added as title #%2","01688.mpls","99"
MSG:3307,0,2,"File 01689.mpls was added as title #100","File %1 was added as title #%2","01689.mpls","100"
MSG:3307,0,2,"File 01690.mpls was added as title #101","File %1 was added as title #%2","01690.mpls","101"
MSG:3307,0,2,"File 01691.mpls was added as title #102","File %1 was added as title #%2","01691.mpls","102"
MSG:3307,0,2,"File 01692.mpls was added as title #103","File %1 was added as title #%2","01692.mpls","103"
MSG:3307,0,2,"File 01693.mpls was added as title #104","File %1 was added as title #%2","01693.mpls","104"
MSG:3307,0,2,"File 01694.mpls was added as title #105","File %1 was added as title #%2","01694.mpls","105"
MSG:3307,0,2,"File 01695.mpls was added as title #106","File %1 was added as title #%2","01695.mpls","106"
MSG:3307,0,2,"File 01696.mpls was added as title #107","File %1 was added as title #%2","01696.mpls","107"
MSG:3307,0,2,"File 01697.mpls was added as title #108","File %1 was added as title #%2","01697.mpls","108"
MSG:3307,0,2,"File 01698.mpls was added as title #109","File %1 was added as title #%2","01698.mpls","109"
MSG:3307,0,2,"File 01699.mpls was added as title #110","File %1 was added as title #%2","01699.mpls","110"
MSG:3307,0,2,"File 01700.mpls was added as title #111","File %1 was added as title #%2","01700.mpls","111"
MSG:3307,0,2,"File 01701.mpls was added as title #112","File %1 was added as title #%2","01701.mpls","112"
MSG:3307,0,2,"File 01702.mpls was added as title #113","File %1 was added as title #%2","01702.mpls","113"
MSG:3307,0,2,"File 01703.mpls was added as title #114","File %1 was added as title #%2","01703.mpls","114"
MSG:3307,0,2,"File 01704.mpls was added as title #115","File %1 was added as title #%2","01704.mpls","115"
MSG:3307,0,2,"File 01705.mpls was added as title #116","File %1 was added as title #%2","01705.mpls","116"
MSG:3307,0,2,"File 01706.mpls was added as title #117","File %1 was added as title #%2","01706.mpls","117"
MSG:3307,0,2,"File 01707.mpls was added as title #118","File %1 was added as title #%2","01707.mpls","118"
MSG:3307,0,2,"File 01708.mpls was added as title #119","File %1 was added as title #%2","01708.mpls","119"
MSG:3307,0,2,"File 01709.mpls was added as title #120","File %1 was added as title #%2","01709.mpls","120"
MSG:3307,0,2,"File 01710.mpls was added as title #121","File %1 was added as title #%2","01710.mpls","121"
MSG:3307,0,2,"File 01711.mpls was added as title #122","File %1 was added as title #%2","01711.mpls","122"
MSG:3307,0,2,"File 01712.mpls was added as title #123","File %1 was added as title #%2","01712.mpls","123"
MSG:3307,0,2,"File 01713.mpls was added as title #124","File %1 was added as title #%2","01713.mpls","124"
MSG:3307,0,2,"File 01714.mpls was added as title #125","File %1 was added as title #%2","01714.mpls","125"
MSG:3307,0,2,"File 01715.mpls was added as title #126","File %1 was added as title #%2","01715.mpls","126"
MSG:3307,0,2,"File 01716.mpls was added as title #127","File %1 was added as title #%2","01716.mpls","127"
MSG:3307,0,2,"File 01717.mpls was added as title #128","File %1 was added as title #%2","01717.mpls","128"
MSG:3307,0,2,"File 01718.mpls was added as title #129","File %1 was added as title #%2","01718.mpls","129"
MSG:3307,0,2,"File 01719.mpls was added as title #130","File %1 was added as title #%2","01719.mpls","130"
MSG:3307,0,2,"File 01720.mpls was added as title #131","File %1 was added as title #%2","01720.mpls","131"
MSG:3307,0,2,"File 01721.mpls was added as title #132","File %1 was added as title #%2","01721.mpls","132"
MSG:3307,0,2,"File 01722.mpls was added as title #133","File %1 was added as title #%2","01722.mpls","133"
MSG:3307,0,2,"File 01723.mpls was added as title #134","File %1 was added as title #%2","01723.mpls","134"
MSG:3307,0,2,"File 01724.mpls was added as title #135","File %1 was added as title #%2","01724.mpls","135"
MSG:3307,0,2,"File 01725.mpls was added as title #136","File %1 was added as title #%2","01725.mpls","136"
MSG:3307,0,2,"File 01726.mpls was added as title #137","File %1 was added as title #%2","01726.mpls","137"
MSG:3307,0,2,"File 01727.mpls was added as title #138","File %1 was added as title #%2","01727.mpls","138"
MSG:3307,0,2,"File 01728.mpls was added as title #139","File %1 was added as title #%2","01728.mpls","139"
MSG:3307,0,2,"File 01729.mpls was added as title #140","File %1 was added as title #%2","01729.mpls","140"
MSG:3307,0,2,"File 01730.mpls was added as title #141","File %1 was added as title #%2","01730.mpls","141"
MSG:3307,0,2,"File 01731.mpls was added as title #142","File %1 was added as title #%2","01731.mpls","142"
MSG:3307,0,2,"File 01732.mpls was added as title #143","File %1 was added as title #%2","01732.mpls","143"
MSG:3307,0,2,"File 01733.mpls was added as title #144","File %1 was added as title #%2","01733.mpls","144"
MSG:3307,0,2,"File 01734.mpls was added as title #145","File %1 was added as title #%2","01734.mpls","145"
MSG:3307,0,2,"File 01735.mpls was added as title #146","File %1 was added as title #%2","01735.mpls","146"
MSG:3307,0,2,"File 01736.mpls was added as title #147","File %1 was added as title #%2","01736.mpls","147"
MSG:3307,0,2,"File 01737.mpls was added as title #148","File %1 was added as title #%2","01737.mpls","148"
MSG:3307,0,2,"File 01738.mpls was added as title #149","File %1 was added as title #%2","01738.mpls","149"
MSG:3307,0,2,"File 01739.mpls was added as title #150","File %1 was added as title #%2","01739.mpls","150"
MSG:3307,0,2,"File 01740.mpls was added as title #151","File %1 was added as title #%2","01740.mpls","151"
MSG:3307,0,2,"File 01741.mpls was added as title #152","File %1 was added as title #%2","01741.mpls","152"
MSG:3307,0,2,"File 01742.mpls was added as title #153","File %1 was added as title #%2","01742.mpls","153"
MSG:3307,0,2,"File 01743.mpls was added as title #154","File %1 was added as title #%2","01743.mpls","154"
MSG:3307,0,2,"File 01744.mpls was added as title #155","File %1 was added as title #%2","01744.mpls","155"
MSG:3307,0,2,"File 01745.mpls was added as title #156","File %1 was added as title #%2","01745.mpls","156"
MSG:3307,0,2,"File 01746.mpls was added as title #157","File %1 was added as title #%2","01746.mpls","157"
MSG:3307,0,2,"File 01747.mpls was added as title #158","File %1 was added as title #%2","01747.mpls","158"
MSG:3307,0,2,"File 01748.mpls was added as title #159","File %1 was added as title #%2","01748.mpls","159"
MSG:3307,0,2,"File 01749.mpls was added as title #160","File %1 was added as title #%2","01749.mpls","160"
MSG:3307,0,2,"File 01750.mpls was added as title #161","File %1 was added as title #%2","01750.mpls","161"
MSG:3307,0,2,"File 01751.mpls was added as title #162","File %1 was added as title #%2","01751.mpls","162"
MSG:3307,0,2,"File 01752.mpls was added as title #163","File %1 was added as title #%2","01752.mpls","163"
MSG:3307,0,2,"File 01753.mpls was added as title #164","File %1 was added as title #%2","01753.mpls","164"
MSG:3307,0,2,"File 01754.mpls was added as title #165","File %1 was added as title #%2","01754.mpls","165"
MSG:3307,0,2,"File 01755.mpls was added as title #166","File %1 was added as title #%2","01755.mpls","166"
MSG:3307,0,2,"File 01756.mpls was added as title #167","File %1 was added as title #%2","01756.mpls","167"
