MSG:1005,0,1,"MakeMKV v1.18.3 win(x64-release) started","%1 started","MakeMKV v1.18.3 win(x64-release)"
DRV:0,2,999,12,"***","***","***"
DRV:1,256,999,0,"","",""
DRV:2,256,999,0,"","",""
DRV:3,256,999,0,"","",""
DRV:4,256,999,0,"","",""
DRV:5,256,999,0,"","",""
DRV:6,256,999,0,"","",""
DRV:7,256,999,0,"","",""
DRV:8,256,999,0,"","",""
DRV:9,256,999,0,"","",""
DRV:10,256,999,0,"","",""
DRV:11,256,999,0,"","",""
DRV:12,256,999,0,"","",""
DRV:13,256,999,0,"","",""
DRV:14,256,999,0,"","",""
DRV:15,256,999,0,"","",""
MSG:1011,0,1,"Using LibreDrive mode (v06.3 id=7FA2657C7667)","%1","Using LibreDrive mode (v06.3 id=7FA2657C7667)"
MSG:3007,0,0,"Using direct disc access mode","Using direct disc access mode"
MSG:5085,0,0,"Loaded content hash table, will verify integrity of M2TS files.","Loaded content hash table, will verify integrity of M2TS files."
MSG:3344,0,1,"Using Java runtime from C:\\Program Files\\Java\\jre1.8.0_481\\bin\\java.exe","Using Java runtime from %1","C:\\Program Files\\Java\\jre1.8.0_481\\bin\\java.exe"
MSG:3307,0,2,"File 00156.mpls was added as title #0","File %1 was added as title #%2","00156.mpls","0"
MSG:3307,0,2,"File 00157.mpls was added as title #1","File %1 was added as title #%2","00157.mpls","1"
MSG:3307,0,2,"File 00600.mpls was added as title #2","File %1 was added as title #%2","00600.mpls","2"
MSG:3307,0,2,"File 00100.mpls was added as title #3","File %1 was added as title #%2","00100.mpls","3"
MSG:3307,0,2,"File 00278.mpls was added as title #4","File %1 was added as title #%2","00278.mpls","4"
MSG:3307,0,2,"File 01038.mpls was added as title #5","File %1 was added as title #%2","01038.mpls","5"
MSG:3307,0,2,"File 01039.mpls was added as title #6","File %1 was added as title #%2","01039.mpls","6"
MSG:3307,0,2,"File 00279.mpls was added as title #7","File %1 was added as title #%2","00279.mpls","7"
MSG:3307,0,2,"File 01046.mpls was added as title #8","File %1 was added as title #%2","01046.mpls","8"
MSG:3307,0,2,"File 00280.mpls was added as title #9","File %1 was added as title #%2","00280.mpls","9"
MSG:3307,0,2,"File 01047.mpls was added as title #10","File %1 was added as title #%2","01047.mpls","10"
MSG:3307,0,2,"File 00281.mpls was added as title #11","File %1 was added as title #%2","00281.mpls","11"
MSG:3307,0,2,"File 00282.mpls was added as title #12","File %1 was added as title #%2","00282.mpls","12"
MSG:3307,0,2,"File 00283.mpls was added as title #13","File %1 was added as title #%2","00283.mpls","13"
MSG:3307,0,2,"File 00030.mpls was added as title #14","File %1 was added as title #%2","00030.mpls","14"
MSG:3307,0,2,"File 00152.mpls was added as title #15","File %1 was added as title #%2","00152.mpls","15"
MSG:3307,0,2,"File 00110.mpls was added as title #16","File %1 was added as title #%2","00110.mpls","16"
MSG:3307,0,2,"File 00111.mpls was added as title #17","File %1 was added as title #%2","00111.mpls","17"
MSG:3307,16777216,2,"File 00112.mpls was added as title #18","File %1 was added as title #%2","00112.mpls","18"
MSG:3307,0,2,"File 00113.mpls was added as title #19","File %1 was added as title #%2","00113.mpls","19"
MSG:3307,0,2,"File 00114.mpls was added as title #20","File %1 was added as title #%2","00114.mpls","20"
MSG:3307,0,2,"File 00115.mpls was added as title #21","File %1 was added as title #%2","00115.mpls","21"
MSG:3307,16777216,2,"File 00116.mpls was added as title #22","File %1 was added as title #%2","00116.mpls","22"
MSG:3307,0,2,"File 00117.mpls was added as title #23","File %1 was added as title #%2","00117.mpls","23"
MSG:3307,0,2,"File 00118.mpls was added as title #24","File %1 was added as title #%2","00118.mpls","24"
MSG:3307,0,2,"File 00119.mpls was added as title #25","File %1 was added as title #%2","00119.mpls","25"
MSG:3307,16777216,2,"File 00144.mpls was added as title #26","File %1 was added as title #%2","00144.mpls","26"
MSG:3307,0,2,"File 00145.mpls was added as title #27","File %1 was added as title #%2","00145.mpls","27"
MSG:3307,0,2,"File 00120.mpls was added as title #28","File %1 was added as title #%2","00120.mpls","28"
MSG:3307,0,2,"File 00121.mpls was added as title #29","File %1 was added as title #%2","00121.mpls","29"
MSG:3307,0,2,"File 00122.mpls was added as title #30","File %1 was added as title #%2","00122.mpls","30"
MSG:3307,0,2,"File 00123.mpls was added as title #31","File %1 was added as title #%2","00123.mpls","31"
MSG:3307,0,2,"File 00124.mpls was added as title #32","File %1 was added as title #%2","00124.mpls","32"
MSG:3307,0,2,"File 00125.mpls was added as title #33","File %1 was added as title #%2","00125.mpls","33"
MSG:3307,0,2,"File 00126.mpls was added as title #34","File %1 was added as title #%2","00126.mpls","34"
MSG:3307,0,2,"File 00127.mpls was added as title #35","File %1 was added as title #%2","00127.mpls","35"
MSG:3307,0,2,"File 00128.mpls was added as title #36","File %1 was added as title #%2","00128.mpls","36"
MSG:3307,0,2,"File 00129.mpls was added as title #37","File %1 was added as title #%2","00129.mpls","37"
MSG:3307,0,2,"File 00142.mpls was added as title #38","File %1 was added as title #%2","00142.mpls","38"
MSG:3307,0,2,"File 00143.mpls was added as title #39","File %1 was added as title #%2","00143.mpls","39"
MSG:3307,0,2,"File 00130.mpls was added as title #40","File %1 was added as title #%2","00130.mpls","40"
MSG:3307,0,2,"File 00131.mpls was added as title #41","File %1 was added as title #%2","00131.mpls","41"
MSG:3307,0,2,"File 00132.mpls was added as title #42","File %1 was added as title #%2","00132.mpls","42"
MSG:3307,0,2,"File 00133.mpls was added as title #43","File %1 was added as title #%2","00133.mpls","43"
MSG:3307,0,2,"File 00134.mpls was added as title #44","File %1 was added as title #%2","00134.mpls","44"
MSG:3307,0,2,"File 00135.mpls was added as title #45","File %1 was added as title #%2","00135.mpls","45"
MSG:3307,0,2,"File 00136.mpls was added as title #46","File %1 was added as title #%2","00136.mpls","46"
MSG:3307,0,2,"File 00137.mpls was added as title #47","File %1 was added as title #%2","00137.mpls","47"
MSG:3307,0,2,"File 00138.mpls was added as title #48","File %1 was added as title #%2","00138.mpls","48"
MSG:3307,0,2,"File 00139.mpls was added as title #49","File %1 was added as title #%2","00139.mpls","49"
MSG:3307,0,2,"File 00140.mpls was added as title #50","File %1 was added as title #%2","00140.mpls","50"
MSG:3307,0,2,"File 00141.mpls was added as title #51","File %1 was added as title #%2","00141.mpls","51"
MSG:3307,0,2,"File 00146.mpls was added as title #52","File %1 was added as title #%2","00146.mpls","52"
MSG:3307,0,2,"File 00147.mpls was added as title #53","File %1 was added as title #%2","00147.mpls","53"
MSG:3307,0,2,"File 00148.mpls was added as title #54","File %1 was added as title #%2","00148.mpls","54"
MSG:3307,0,2,"File 00801.mpls was added as title #55","File %1 was added as title #%2","00801.mpls","55"
MSG:3307,0,2,"File 01062.mpls was added as title #56","File %1 was added as title #%2","01062.mpls","56"
MSG:3307,0,2,"File 00844.mpls was added as title #57","File %1 was added as title #%2","00844.mpls","57"
MSG:3307,0,2,"File 01068.mpls was added as title #58","File %1 was added as title #%2","01068.mpls","58"
MSG:3307,0,2,"File 00877.mpls was added as title #59","File %1 was added as title #%2","00877.mpls","59"
MSG:3307,0,2,"File 00878.mpls was added as title #60","File %1 was added as title #%2","00878.mpls","60"
MSG:3307,0,2,"File 00879.mpls was added as title #61","File %1 was added as title #%2","00879.mpls","61"
MSG:3307,0,2,"File 00101.mpls was added as title #62","File %1 was added as title #%2","00101.mpls","62"
MSG:3307,0,2,"File 00102.mpls was added as title #63","File %1 was added as title #%2","00102.mpls","63"
MSG:3307,0,2,"File 00103.mpls was added as title #64","File %1 was added as title #%2","00103.mpls","64"
MSG:3307,0,2,"File 00104.mpls was added as title #65","File %1 was added as title #%2","00104.mpls","65"
MSG:3307,0,2,"File 00105.mpls was added as title #66","File %1 was added as title #%2","00105.mpls","66"
MSG:3307,0,2,"File 00106.mpls was added as title #67","File %1 was added as title #%2","00106.mpls","67"
MSG:3307,0,2,"File 00107.mpls was added as title #68","File %1 was added as title #%2","00107.mpls","68"
MSG:3307,0,2,"File 00108.mpls was added as title #69","File %1 was added as title #%2","00108.mpls","69"
MSG:3307,0,2,"File 00109.mpls was added as title #70","File %1 was added as title #%2","00109.mpls","70"
MSG:3307,0,2,"File 01208.mpls was added as title #71","File %1 was added as title #%2","01208.mpls","71"
MSG:3307,0,2,"File 01209.mpls was added as title #72","File %1 was added as title #%2","01209.mpls","72"
MSG:3307,0,2,"File 01210.mpls was added as title #73","File %1 was added as title #%2","01210.mpls","73"
MSG:3307,0,2,"File 01211.mpls was added as title #74","File %1 was added as title #%2","01211.mpls","74"
MSG:3307,0,2,"File 01212.mpls was added as title #75","File %1 was added as title #%2","01212.mpls","75"
MSG:3307,0,2,"File 01213.mpls was added as title #76","File %1 was added as title #%2","01213.mpls","76"
MSG:3307,0,2,"File 01214.mpls was added as title #77","File %1 was added as title #%2","01214.mpls","77"
MSG:3307,0,2,"File 01215.mpls was added as title #78","File %1 was added as title #%2","01215.mpls","78"
MSG:3307,0,2,"File 01216.mpls was added as title #79","File %1 was added as title #%2","01216.mpls","79"
MSG:3307,0,2,"File 01217.mpls was added as title #80","File %1 was added as title #%2","01217.mpls","80"
MSG:3307,0,2,"File 01218.mpls was added as title #81","File %1 was added as title #%2","01218.mpls","81"
MSG:3307,0,2,"File 01219.mpls was added as title #82","File %1 was added as title #%2","01219.mpls","82"
MSG:3307,0,2,"File 01220.mpls was added as title #83","File %1 was added as title #%2","01220.mpls","83"
MSG:3307,0,2,"File 01221.mpls was added as title #84","File %1 was added as title #%2","01221.mpls","84"
MSG:3307,0,2,"File 01222.mpls was added as title #85","File %1 was added as title #%2","01222.mpls","85"
MSG:3307,0,2,"File 01223.mpls was added as title #86","File %1 was added as title #%2","01223.mpls","86"
MSG:3307,0,2,"File 01224.mpls was added as title #87","File %1 was added as title #%2","01224.mpls","87"
MSG:3307,0,2,"File 01225.mpls was added as title #88","File %1 was added as title #%2","01225.mpls","88"
MSG:3307,0,2,"File 01226.mpls was added as title #89","File %1 was added as title #%2","01226.mpls","89"
MSG:3307,0,2,"File 01227.mpls was added as title #90","File %1 was added as title #%2","01227.mpls","90"
MSG:3307,0,2,"File 01228.mpls was added as title #91","File %1 was added as title #%2","01228.mpls","91"
MSG:3307,0,2,"File 01229.mpls was added as title #92","File %1 was added as title #%2","01229.mpls","92"
MSG:3307,0,2,"File 01230.mpls was added as title #93","File %1 was added as title #%2","01230.mpls","93"
MSG:3307,0,2,"File 01231.mpls was added as title #94","File %1 was added as title #%2","01231.mpls","94"
MSG:3307,0,2,"File 01232.mpls was added as title #95","File %1 was added as title #%2","01232.mpls","95"
MSG:3307,0,2,"File 01233.mpls was added as title #96","File %1 was added as title #%2","01233.mpls","96"
MSG:3307,0,2,"File 01234.mpls was added as title #97","File %1 was added as title #%2","01234.mpls","97"
MSG:3307,0,2,"File 01235.mpls was added as title #98","File %1 was added as title #%2","01235.mpls","98"
MSG:3307,0,2,"File 01236.mpls was added as title #99","File %1 was added as title #%2","01236.mpls","99"
MSG:3307,0,2,"File 01237.mpls was added as title #100","File %1 was added as title #%2","01237.mpls","100"
MSG:3307,0,2,"File 00924.mpls was added as title #101","File %1 was added as title #%2","00924.mpls","101"
MSG:3307,0,2,"File 00925.mpls was added as title #102","File %1 was added as title #%2","00925.mpls","102"
MSG:3307,0,2,"File 00964.mpls was added as title #103","File %1 was added as title #%2","00964.mpls","103"
MSG:3307,0,2,"File 00079.mpls was added as title #104","File %1 was added as title #%2","00079.mpls","104"
MSG:3307,0,2,"File 00917.mpls was added as title #105","File %1 was added as title #%2","00917.mpls","105"
MSG:3307,0,2,"File 00900.mpls was added as title #106","File %1 was added as title #%2","00900.mpls","106"
MSG:3307,0,2,"File 00922.mpls was added as title #107","File %1 was added as title #%2","00922.mpls","107"
MSG:3307,0,2,"File 00923.mpls was added as title #108","File %1 was added as title #%2","00923.mpls","108"
MSG:3307,0,2,"File 00931.mpls was added as title #109","File %1 was added as title #%2","00931.mpls","109"
MSG:3307,0,2,"File 00930.mpls was added as title #110","File %1 was added as title #%2","00930.mpls","110"
MSG:3307,0,2,"File 00956.mpls was added as title #111","File %1 was added as title #%2","00956.mpls","111"
MSG:3307,0,2,"File 00907.mpls was added as title #112","File %1 was added as title #%2","00907.mpls","112"
MSG:3307,0,2,"File 00916.mpls was added as title #113","File %1 was added as title #%2","00916.mpls","113"
MSG:3307,0,2,"File 00915.mpls was added as title #114","File %1 was added as title #%2","00915.mpls","114"
MSG:3307,0,2,"File 00914.mpls was added as title #115","File %1 was added as title #%2","00914.mpls","115"
MSG:3307,0,2,"File 00920.mpls was added as title #116","File %1 was added as title #%2","00920.mpls","116"
MSG:3307,0,2,"File 00921.mpls was added as title #117","File %1 was added as title #%2","00921.mpls","117"
MSG:3307,0,2,"File 00942.mpls was added as title #118","File %1 was added as title #%2","00942.mpls","118"
MSG:3307,0,2,"File 00943.mpls was added as title #119","File %1 was added as title #%2","00943.mpls","119"
MSG:3307,0,2,"File 00957.mpls was added as title #120","File %1 was added as title #%2","00957.mpls","120"
MSG:3307,0,2,"File 00959.mpls was added as title #121","File %1 was added as title #%2","00959.mpls","121"
MSG:3307,0,2,"File 00958.mpls was added as title #122","File %1 was added as title #%2","00958.mpls","122"
MSG:3307,0,2,"File 00913.mpls was added as title #123","File %1 was added as title #%2","00913.mpls","123"
MSG:3307,0,2,"File 00933.mpls was added as title #124","File %1 was added as title #%2","00933.mpls","124"
MSG:3307,0,2,"File 00932.mpls was added as title #125","File %1 was added as title #%2","00932.mpls","125"
MSG:3307,0,2,"File 00967.mpls was added as title #126","File %1 was added as title #%2","00967.mpls","126"
MSG:3307,0,2,"File 01241.mpls was added as title #127","File %1 was added as title #%2","01241.mpls","127"
MSG:3307,0,2,"File 01242.mpls was added as title #128","File %1 was added as title #%2","01242.mpls","128"
MSG:3307,0,2,"File 01243.mpls was added as title #129","File %1 was added as title #%2","01243.mpls","129"
MSG:3307,0,2,"File 01244.mpls was added as title #130","File %1 was added as title #%2","01244.mpls","130"
MSG:3307,0,2,"File 01245.mpls was added as title #131","File %1 was added as title #%2","01245.mpls","131"
MSG:3307,0,2,"File 01246.mpls was added as title #132","File %1 was added as title #%2","01246.mpls","132"
MSG:3307,0,2,"File 01247.mpls was added as title #133","File %1 was added as title #%2","01247.mpls","133"
MSG:3307,0,2,"File 01248.mpls was added as title #134","File %1 was added as title #%2","01248.mpls","134"
MSG:3307,0,2,"File 01249.mpls was added as title #135","File %1 was added as title #%2","01249.mpls","135"
MSG:3307,0,2,"File 01250.mpls was added as title #136","File %1 was added as title #%2","01250.mpls","136"
MSG:3307,0,2,"File 01251.mpls was added as title #137","File %1 was added as title #%2","01251.mpls","137"
MSG:3307,0,2,"File 01252.mpls was added as title #138","File %1 was added as title #%2","01252.mpls","138"
MSG:3307,0,2,"File 01253.mpls was added as title #139","File %1 was added as title #%2","01253.mpls","139"
MSG:3307,0,2,"File 01254.mpls was added as title #140","File %1 was added as title #%2","01254.mpls","140"
MSG:3307,0,2,"File 01255.mpls was added as title #141","File %1 was added as title #%2","01255.mpls","141"
MSG:3307,0,2,"File 01256.mpls was added as title #142","File %1 was added as title #%2","01256.mpls","142"
MSG:3307,0,2,"File 01257.mpls was added as title #143","File %1 was added as title #%2","01257.mpls","143"
MSG:3307,0,2,"File 01258.mpls was added as title #144","File %1 was added as title #%2","01258.mpls","144"
MSG:3307,0,2,"File 01259.mpls was added as title #145","File %1 was added as title #%2","01259.mpls","145"
MSG:3307,16777216,2,"File 01272.mpls was added as title #146","File %1 was added as title #%2","01272.mpls","146"
MSG:3307,16777216,2,"File 00149.mpls was added as title #147","File %1 was added as title #%2","00149.mpls","147"
MSG:3309,16777216,2,"Title 00833.mpls is equal to title 00600.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00833.mpls","00600.mpls"
MSG:3309,16777216,2,"Title 00834.mpls is equal to title 00600.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00834.mpls","00600.mpls"
MSG:3307,16777216,2,"File 01041.mpls was added as title #148","File %1 was added as title #%2","01041.mpls","148"
MSG:3307,16777216,2,"File 01042.mpls was added as title #149","File %1 was added as title #%2","01042.mpls","149"
MSG:3307,16777216,2,"File 01048.mpls was added as title #150","File %1 was added as title #%2","01048.mpls","150"
MSG:3309,16777216,2,"Title 00040.mpls is equal to title 00801.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00040.mpls","00801.mpls"
MSG:3307,16777216,2,"File 01064.mpls was added as title #151","File %1 was added as title #%2","01064.mpls","151"
MSG:3307,16777216,2,"File 01065.mpls was added as title #152","File %1 was added as title #%2","01065.mpls","152"
MSG:3307,16777216,2,"File 01066.mpls was added as title #153","File %1 was added as title #%2","01066.mpls","153"
MSG:3307,16777216,2,"File 01067.mpls was added as title #154","File %1 was added as title #%2","01067.mpls","154"
MSG:3309,16777216,2,"Title 01072.mpls is equal to title 01062.mpls and was skipped","Title %1 is equal to title %2 and was skipped","01072.mpls","01062.mpls"
MSG:3309,16777216,2,"Title 00965.mpls is equal to title 00924.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00965.mpls","00924.mpls"
MSG:3309,16777216,2,"Title 00965.mpls(1) is equal to title 00925.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00965.mpls(1)","00925.mpls"
MSG:3309,16777216,2,"Title 00965.mpls(2) is equal to title 00964.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00965.mpls(2)","00964.mpls"
MSG:3309,16777216,2,"Title 00965.mpls(3) is equal to title 00079.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00965.mpls(3)","00079.mpls"
